IATA,FR name,EN name,Province,AUTO/MAN,Latitude,Longitude,Elevation,ICAO,WMO,MSC,DST Time Zone / Fuseau horaire été, STD Time Zone / Fuseau horaire heure normale,Data Provider,Data Attribution Notice
11,SUMMIT,SUMMIT,BC,AUTO,48.92757,-124.6469,680,,,BC_WMB_11,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
19,MENZIES CAMP,MENZIES CAMP,BC,AUTO,50.04863,-125.78867,438,,,BC_WMB_19,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
21,WOSS CAMP,WOSS CAMP,BC,AUTO,50.21312,-126.60705,156,,,BC_WMB_21,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
37,BEAVER CREEK,BEAVER CREEK,BC,AUTO,49.37722,-124.93327,100,,,BC_WMB_37,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
45,SALTSPRING 2,SALTSPRING 2,BC,AUTO,48.77395,-123.4735,18,,,BC_WMB_45,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
56,BOWSER,BOWSER,BC,AUTO,49.43683,-124.70222,121,,,BC_WMB_56,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
59,CEDAR,CEDAR,BC,AUTO,49.04762,-123.87473,30,,,BC_WMB_59,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
67,HAIG CAMP,HAIG CAMP,BC,AUTO,49.3806,-121.52597,38,,,BC_WMB_67,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
72,UBC RESEARCH,UBC RESEARCH,BC,AUTO,49.2645,-122.57328,162,,,BC_WMB_72,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
75,TOBA CAMP,TOBA CAMP,BC,AUTO,50.571,-124.07717,43,,,BC_WMB_75,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
82,SCAR CREEK,SCAR CREEK,BC,AUTO,51.18911,-125.02806,116,,,BC_WMB_82,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
93,HONNA,HONNA,BC,AUTO,53.2532,-132.11562,100,,,BC_WMB_93,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
101,MACHMELL,MACHMELL,BC,AUTO,51.59312,-126.45077,332,,,BC_WMB_101,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
105,ROSSWOOD,ROSSWOOD,BC,AUTO,54.91673,-128.8598,239,,,BC_WMB_105,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
106,KITPARK,KITPARK,BC,AUTO,54.1696,-128.57585,75,,,BC_WMB_106,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
108,DEASE LAKE FS,DEASE LAKE FS,BC,AUTO,58.42578,-130.01872,800,,,BC_WMB_108,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
110,TELEGRAPH CREEK,TELEGRAPH CREEK,BC,AUTO,57.91413,-131.17115,382,,,BC_WMB_110,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
111,ATLIN,ATLIN,BC,AUTO,59.58448,-133.66438,729,,,BC_WMB_111,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
112,ISKUT,ISKUT,BC,AUTO,57.8615,-130.01825,890,,,BC_WMB_112,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
113,BOB QUINN LAKE,BOB QUINN LAKE,BC,AUTO,56.98098,-130.2508,609,,,BC_WMB_113,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
117,SIERRA,SIERRA,BC,AUTO,58.83811,-121.39666,584,,,BC_WMB_117,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
118,HELMUT,HELMUT,BC,AUTO,59.421,-120.78892,598,,,BC_WMB_118,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
119,NELSON FORKS,NELSON FORKS,BC,AUTO,59.61728,-124.09851,604,,,BC_WMB_119,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
120,SILVER,SILVER,BC,AUTO,57.49678,-121.29695,835,,,BC_WMB_120,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
121,PADDY,PADDY,BC,AUTO,57.78181,-120.2368,729,,,BC_WMB_121,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
124,GRAHAM,GRAHAM,BC,AUTO,56.43464,-122.45767,768,,,BC_WMB_124,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
126,TOAD RIVER,TOAD RIVER,BC,AUTO,58.86585,-125.3107,711,,,BC_WMB_126,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
127,TUMBLER(DENISON) HUB,TUMBLER(DENISON) HUB,BC,AUTO,55.02736,-120.93405,942,,,BC_WMB_127,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
129,PINK MOUNTAIN,PINK MOUNTAIN,BC,AUTO,57.08753,-122.59097,989,,,BC_WMB_129,PDT,PST,"Government of British Columbia, Ministry of Forests, Lands and Natural Resource Operations, BC Wildfire Service (BC-FLNR-BCWS)",Observational data provided by BC-FLNR-BCWS. All rights reserved.
