IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
4400488,East Chedabucto Bay,44488,9302000,45.445000,-60.953800,0.000,,,AUTO,
4400489,West Chedabucto Bay,44489,9302001,45.486870,-61.141000,0.000,,,AUTO,
4400490,West Bay of Fundy,44490,9300300,44.660560,-66.368600,0.000,,,AUTO,
4600303,Southern Georgia Strait,46303,9102000,49.025000,-123.430000,0.000,,,AUTO,
4600304,Entrance to English Bay,46304,9102001,49.301670,-123.357000,0.000,,,AUTO,
CAAW,SHEARWATER RCS,71264,8205092,44.629840,-63.513290,25.200,MSC,CA,AUTO,Nova Scotia
CABB,BEDFORD BASIN,71329,8200573,44.706111,-63.633333,3.500,MSC,CA,AUTO,Nova Scotia
CABF,BURGEO NL,71152,8400801,47.613000,-57.610300,10.600,MSC,CA,AUTO,Newfoundland and Labrador
CABH,WINTERLAND BRANCH HILL,73080,8404242,47.136111,-55.328056,30.260,MSC,CA,AUTO,Newfoundland and Labrador
CABR,BEDFORD RANGE,71325,8200574,44.745555,-63.660278,9.600,MSC,CA,AUTO,Nova Scotia
CABT,BOUCTOUCHE,71666,8100593,46.430555,-64.767400,44.500,MSC,CA,AUTO,New Brunswick
CACM,CORMACK RCS,71367,8401295,49.322000,-57.393400,165.800,MSC,CA,AUTO,Newfoundland and Labrador
CACP,BACCARO PT,71920,8200255,43.450800,-65.471700,4.600,MSC,CA,AUTO,Nova Scotia
CACQ,MIRAMICHI RCS,71744,8100989,47.009400,-65.465000,33.000,MSC,CA,AUTO,New Brunswick
CADL,DANIEL'S HARBOUR,73024,8401405,50.236388,-57.581111,25.000,MSC,CA,AUTO,Newfoundland and Labrador
CADN,DOAKTOWN AUTO RCS,71038,8101201,46.585300,-66.009900,43.000,MSC,CA,AUTO,New Brunswick
CADS,ST LAWRENCE,71110,8403619,46.916700,-55.383300,48.500,MSC,CA,AUTO,Newfoundland and Labrador
CAEI,ESKASONI FIRST NATION,71175,8201780,45.920600,-60.646900,28.000,MSC,CA,AUTO,Nova Scotia
CAFC,FREDERICTON CDA CS,71668,8101605,45.920300,-66.608900,35.000,MSC,CA,AUTO,New Brunswick
CAFL,CHURCHILL FALLS,,8501130,53.558000,-64.094000,439.500,DND,RA,AUTO,Newfoundland and Labrador
CAGL,COLLEGEVILLE AUTO,71698,8201001,45.490194,-62.016167,61.000,MSC,CA,AUTO,Nova Scotia
CAHD,HALIFAX DOCKYARD,71328,8202240,44.655277,-63.575833,3.800,MSC,CA,AUTO,Nova Scotia
CAHK,HALIFAX KOOTENAY,71326,8202252,44.587500,-63.550000,52.000,MSC,CA,AUTO,Nova Scotia
